                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5266,                0.33569,                 0.5474,                0.71874,               0.003332,               0.003332,               0.003332
                      1,                0.79172,                0.70861,                0.89383,                0.67043,              0.0065333,              0.0065333,              0.0065333
                      2,                0.33376,                0.86395,                0.96907,                0.64616,              0.0096027,              0.0096027,              0.0096027
                      3,                0.17503,                0.90925,                0.98592,                0.63819,               0.009406,               0.009406,               0.009406
                      4,                0.12314,                0.92376,                0.98773,                0.63618,               0.009406,               0.009406,               0.009406
                      5,                 0.0967,                 0.9315,                0.98955,                0.63436,               0.009208,               0.009208,               0.009208
                      6,                0.07553,                0.93575,                0.99069,                0.63355,                0.00901,                0.00901,                0.00901
                      7,                0.07034,                0.94066,                0.99208,                0.63272,               0.008812,               0.008812,               0.008812
                      8,                0.06019,                0.94143,                0.99212,                0.63209,               0.008614,               0.008614,               0.008614
                      9,                 0.0525,                0.94377,                0.99212,                0.63165,               0.008416,               0.008416,               0.008416
                     10,                 0.0482,                 0.9452,                0.99222,                0.63145,               0.008218,               0.008218,               0.008218
                     11,                0.04383,                0.94596,                0.99289,                0.63121,                0.00802,                0.00802,                0.00802
                     12,                0.03727,                0.94754,                0.99251,                0.63098,               0.007822,               0.007822,               0.007822
                     13,                0.03594,                0.94754,                0.99236,                0.63084,               0.007624,               0.007624,               0.007624
                     14,                0.03494,                0.94787,                0.99265,                0.63075,               0.007426,               0.007426,               0.007426
                     15,                0.03129,                0.94844,                0.99251,                0.63066,               0.007228,               0.007228,               0.007228
                     16,                0.02776,                0.94849,                0.99227,                 0.6306,                0.00703,                0.00703,                0.00703
                     17,                0.02476,                0.94883,                0.99246,                0.63053,               0.006832,               0.006832,               0.006832
                     18,                0.02418,                0.94849,                 0.9926,                 0.6305,               0.006634,               0.006634,               0.006634
                     19,                 0.0241,                0.94863,                0.99255,                0.63045,               0.006436,               0.006436,               0.006436
                     20,                0.01871,                0.94849,                0.99241,                0.63042,               0.006238,               0.006238,               0.006238
                     21,                0.01909,                0.94863,                0.99231,                 0.6304,                0.00604,                0.00604,                0.00604
                     22,                0.01974,                0.94825,                0.99246,                0.63039,               0.005842,               0.005842,               0.005842
                     23,                0.01549,                0.94844,                0.99231,                0.63038,               0.005644,               0.005644,               0.005644
                     24,                0.01623,                0.94878,                0.99246,                0.63038,               0.005446,               0.005446,               0.005446
                     25,                0.01508,                0.94883,                0.99236,                0.63037,               0.005248,               0.005248,               0.005248
                     26,                0.01254,                0.94892,                0.99231,                0.63036,                0.00505,                0.00505,                0.00505
                     27,                0.01003,                0.94863,                0.99208,                0.63036,               0.004852,               0.004852,               0.004852
                     28,                0.01124,                0.94873,                0.99179,                0.63036,               0.004654,               0.004654,               0.004654
                     29,                0.00934,                0.94883,                0.99174,                0.63037,               0.004456,               0.004456,               0.004456
                     30,                0.00853,                0.94883,                0.99169,                0.63037,               0.004258,               0.004258,               0.004258
                     31,                0.00665,                0.94868,                0.99155,                0.63038,                0.00406,                0.00406,                0.00406
                     32,                0.00609,                0.94868,                 0.9915,                0.63039,               0.003862,               0.003862,               0.003862
                     33,                0.00483,                0.94883,                0.99169,                0.63041,               0.003664,               0.003664,               0.003664
                     34,                 0.0057,                 0.9483,                0.99174,                0.63042,               0.003466,               0.003466,               0.003466
                     35,                0.00423,                0.94792,                0.99174,                0.63044,               0.003268,               0.003268,               0.003268
                     36,                0.00379,                0.94763,                0.99179,                0.63047,                0.00307,                0.00307,                0.00307
                     37,                0.00313,                0.94739,                0.99169,                 0.6305,               0.002872,               0.002872,               0.002872
                     38,                0.00336,                0.94706,                0.99165,                0.63053,               0.002674,               0.002674,               0.002674
                     39,                0.00279,                 0.9473,                0.99141,                0.63055,               0.002476,               0.002476,               0.002476
                     40,                0.00235,                0.94701,                0.99141,                0.63058,               0.002278,               0.002278,               0.002278
                     41,                0.00162,                0.94692,                0.99112,                0.63061,                0.00208,                0.00208,                0.00208
                     42,                0.00245,                0.94663,                0.99122,                0.63063,               0.001882,               0.001882,               0.001882
                     43,                0.00228,                0.94639,                0.99107,                0.63066,               0.001684,               0.001684,               0.001684
                     44,                0.00204,                0.94587,                0.99107,                0.63068,               0.001486,               0.001486,               0.001486
                     45,                 0.0021,                0.94568,                0.99083,                 0.6307,               0.001288,               0.001288,               0.001288
                     46,                0.00208,                0.94563,                0.99083,                0.63071,                0.00109,                0.00109,                0.00109
                     47,                0.00197,                0.94572,                0.99074,                0.63071,               0.000892,               0.000892,               0.000892
                     48,                0.00194,                0.94563,                0.99069,                0.63072,               0.000694,               0.000694,               0.000694
                     49,                0.00181,                0.94553,                0.99069,                0.63071,               0.000496,               0.000496,               0.000496
